"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"WDR45B",0.0154712279003864,8.19761594976092,1.01946282156313,0.308030624101061,0.321441983408836,-7.42959765736319,"Non-Neuronal"
"NOLC1",0.0140493932556378,8.17706081949642,1.01874804911904,0.308369891659901,0.321779955848616,-7.44628437882853,"Non-Neuronal"
"CPNE8",0.0121248027952952,8.175147389885,1.01774253046211,0.308847580610903,0.322262328246025,-7.45036270750691,"Non-Neuronal"
"BLOC1S6",0.0189501364057509,8.28035028483079,1.01642911934269,0.309472275845925,0.322898036302722,-7.361090863172,"Non-Neuronal"
"UBE2V1",0.0149744380725902,8.22432059110718,1.01589150724519,0.30972821996788,0.323148951543964,-7.41294460651678,"Non-Neuronal"
"EML1",0.0136488032617184,8.14403628542378,1.01403212929162,0.310614502933629,0.324057460755395,-7.47475906995538,"Non-Neuronal"
"PRR5L",-0.0137156448252878,8.14575687945485,-1.01249709365868,0.311347446727189,0.324805911779886,-7.47549472919254,"Non-Neuronal"
"SHROOM4",0.0162895349795473,8.21833914733555,1.01136329074838,0.311889543230434,0.325355201073924,-7.42111801638034,"Non-Neuronal"
"PYCR2",0.0159141492031427,8.19408712789789,1.01070798022132,0.312203145461071,0.325666088048332,-7.44074675941026,"Non-Neuronal"
"TOB2",0.0254390688500017,8.4836271864867,1.01022861823554,0.312432678194382,0.325889253593981,-7.1515424188317,"Non-Neuronal"
"NFX1",0.017189570331535,8.21748980672096,1.00954524577352,0.312760089419523,0.326214485920154,-7.42389643414906,"Non-Neuronal"
"LATS1",-0.0212405650924197,8.34747678599801,-1.00936920508808,0.312844469039509,0.326286212032823,-7.30913187630323,"Non-Neuronal"
"CHI3L1",0.0126081391758053,8.19203378241994,1.00867884244191,0.313175517577365,0.326600443972937,-7.44788185602093,"Non-Neuronal"
"C6orf89",0.0190403668352275,8.27799703453978,1.00867573239011,0.313177009457494,0.326600443972937,-7.37262691082931,"Non-Neuronal"
"DYSF",0.0131066625984371,8.12929431478035,1.00697655516092,0.313992798153875,0.327428900336418,-7.49181199765178,"Non-Neuronal"
"MON2",-0.0294829862970793,8.73590858054225,-1.00695584730891,0.314002748777169,0.327428900336418,-6.77915472565429,"Non-Neuronal"
"AC004690.2",-0.0124240893073484,8.12778743677605,-1.00655925809155,0.314193359518901,0.327611315802486,-7.49507582494746,"Non-Neuronal"
"PUM3",0.0167860546327248,8.24536866487981,1.00615928991366,0.314385671354354,0.32779548672018,-7.40645001707316,"Non-Neuronal"
"PKNOX1",0.0145934092759283,8.17491016936598,1.00609459550727,0.314416784852004,0.327811573551176,-7.46022940650632,"Non-Neuronal"
"TRPC4AP",-0.0205352698167172,8.35653464211617,-1.00336254352074,0.315732559954541,0.329166982743049,-7.30818847983654,"Non-Neuronal"
"PSMA6",0.0162963093007509,8.24576731262843,1.00315665973876,0.315831861350356,0.329254085306387,-7.4065891864768,"Non-Neuronal"
"CEP57",0.0173172033401165,8.24972310814953,1.00276646781976,0.316020114098646,0.329433906162986,-7.40447289884292,"Non-Neuronal"
"USP30",0.0161948851206724,8.22126355879228,1.00248858416096,0.316154227302892,0.329557274345658,-7.42818373982012,"Non-Neuronal"
"VPS13A",0.0176731902319638,8.33919638832612,1.00134436553863,0.31670684787624,0.330116858042662,-7.32362002773606,"Non-Neuronal"
"MMAB",-0.0150363134802323,8.19628165504364,-1.00104639236771,0.316850863249693,0.330250500793865,-7.45084346270746,"Non-Neuronal"
"CHD9",0.0354008163255664,9.19946676171005,1.00098722184965,0.316879466454946,0.330263843260777,-6.29962958685339,"Non-Neuronal"
"MET",-0.0127696114368838,8.12928674745145,-1.00084165816386,0.316949839586135,0.330320716433142,-7.49944606791847,"Non-Neuronal"
"ARHGAP26",0.0182804280171656,8.23913104804107,0.999727028135519,0.317489050137139,0.33086617541093,-7.41854204307077,"Non-Neuronal"
"DDX46",-0.023636123951519,8.47026378965335,-0.999415989549168,0.317639624651074,0.331006589310303,-7.18613024791788,"Non-Neuronal"
"RGL1",0.0217498638625937,8.41935088590801,0.999278800007054,0.317706053310166,0.331059306685071,-7.24265752140079,"Non-Neuronal"
"ZBTB1",0.0178505208236412,8.25178185703771,0.996702094309838,0.318955413972187,0.332344608237048,-7.40767761967145,"Non-Neuronal"
"HNRNPH1",-0.0312790064400179,8.74994164801153,-0.993365240004241,0.320578120148162,0.334018780153377,-6.76534351148016,"Non-Neuronal"
"ARHGAP29",-0.0126295333849065,8.18992281991361,-0.992773167655438,0.320866606656649,0.334302695868592,-7.46447182246113,"Non-Neuronal"
"MAPK10",0.0280190706709789,8.8355619095371,0.992450083458035,0.32102410055993,0.334450112242786,-6.66267592568258,"Non-Neuronal"
"GRB10",0.0125531672175754,8.14896384118336,0.988875360780084,0.322770042123367,0.336252311852177,-7.49603047043478,"Non-Neuronal"
"CBX7",0.0162572603868156,8.20325894442869,0.988374464746218,0.32301518021049,0.336490916931628,-7.45540075243934,"Non-Neuronal"
"SDHA",0.0168197317618795,8.25139778811419,0.987344976543761,0.323519391988908,0.336999366655112,-7.41755202338655,"Non-Neuronal"
"C9orf85",0.0152108112687444,8.20063761542443,0.985597408819927,0.324376471118389,0.337875317536722,-7.4602797098344,"Non-Neuronal"
"NCOA6",-0.0166603420928304,8.23710423893129,-0.984403075565809,0.324963071237531,0.338469460224479,-7.43302139310083,"Non-Neuronal"
"PNRC1",0.0245356158524803,8.46364574992516,0.983396210212233,0.325458132076694,0.338968204534953,-7.20845057291222,"Non-Neuronal"
"ANKS6",-0.0134068077706075,8.14987247654706,-0.982654194679271,0.325823284056973,0.339331604384629,-7.50201492127842,"Non-Neuronal"
"ANKRD40",0.0156015208430347,8.1970548393448,0.981481550721274,0.32640089490688,0.339916224204186,-7.46611626706252,"Non-Neuronal"
"ETF1",0.0153057149128397,8.19900038199224,0.981278026910912,0.326501212653797,0.340003754083925,-7.46648864720965,"Non-Neuronal"
"LENG8",-0.0297067727827063,8.60472095891984,-0.981053615781146,0.32661184907579,0.3401020201128,-7.01148617938608,"Non-Neuronal"
"FBXO9",-0.0199421254818901,8.3879955582142,-0.980110279516249,0.327077187575099,0.340569610418472,-7.29959755618957,"Non-Neuronal"
"CHKA",0.0236783789601933,8.50910699839349,0.978172677362677,0.328034337688376,0.341549228201418,-7.14952947673077,"Non-Neuronal"
"NCL",-0.0224271662623625,8.48907189446291,-0.97810606479128,0.328067275714173,0.341566507045243,-7.18500679303199,"Non-Neuronal"
"TPRN",-0.0169207761163932,8.21538524342737,-0.976922495697464,0.328652874864392,0.342159157393066,-7.4582296842219,"Non-Neuronal"
"RTN1",0.0218839190523603,8.43367060124932,0.975579678234885,0.329318086324017,0.342834628619842,-7.24761060360338,"Non-Neuronal"
"KLC1",0.0229108186430409,8.49142120748594,0.971964022558408,0.331113562387406,0.344686629172525,-7.18229652570151,"Non-Neuronal"
"PTPN4",0.019621162181755,8.39916388758135,0.971056526711485,0.331565202534234,0.345139592238544,-7.284216066602,"Non-Neuronal"
"MAP3K4",0.0142591154424476,8.20945649469412,0.969983622131102,0.332099676519216,0.345678730975229,-7.47000398648875,"Non-Neuronal"
"CNOT6L",-0.0174199697541511,8.26168681909156,-0.968733504468947,0.332723132279868,0.346310431506436,-7.42776447765836,"Non-Neuronal"
"MAP1LC3B",0.0195833051032945,8.36686911239799,0.966819904265074,0.333678941826215,0.347287977897908,-7.3289951221309,"Non-Neuronal"
"LDHA",-0.0151790160766669,8.24255801637077,-0.964592160234974,0.334793890372035,0.348431048141397,-7.45095543700455,"Non-Neuronal"
