"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"U73166.1",-0.166488785552014,7.15969529768509,-10.3393497635281,2.38141759965988e-24,1.55750876986912e-23,44.4516201212093,"GABAergic"
"CCDC116",-0.153258307569743,7.15072292554462,-10.3392540904245,2.38365664867303e-24,1.55848106578171e-23,44.4503051204073,"GABAergic"
"AC044849.1",-0.171239339258745,7.16363252195449,-10.3391977100891,2.38497710167499e-24,1.55885234165333e-23,44.4503431025567,"GABAergic"
"IMPA2",-0.16621972665894,7.15970028927853,-10.3382260492282,2.40784812863035e-24,1.573304677865e-23,44.4408014996331,"GABAergic"
"CU633980.1",-0.158691989711325,7.15460178292522,-10.3381564559461,2.40949454086659e-24,1.57388396168306e-23,44.4398486212061,"GABAergic"
"STAG3",-0.1743800721974,7.16383393397804,-10.3376062893573,2.42254953033858e-24,1.58191262364133e-23,44.4349070126964,"GABAergic"
"IL10RB-DT",-0.157638478154048,7.15290384675174,-10.3372492669696,2.43105886764577e-24,1.58696887253535e-23,44.4310380031561,"GABAergic"
"AC004816.2",-0.15323256834847,7.15180084500658,-10.3370346923637,2.43618732905812e-24,1.5898156315936e-23,44.4289802119685,"GABAergic"
"SFTPC",-0.177813302548141,7.17357372249099,-10.3368496941528,2.44061750668393e-24,1.59220505247069e-23,44.427963135722,"GABAergic"
"SOD2.1",-0.153232256084168,7.15074359541032,-10.336612866617,2.4463005078247e-24,1.59541002577371e-23,44.424827463225,"GABAergic"
"BGLAP",-0.170749837872342,7.16220938747862,-10.3365415415643,2.44801461945812e-24,1.59602539543079e-23,44.4246264882037,"GABAergic"
"SLFNL1-AS1",-0.164862472411518,7.15524793539096,-10.3363906569998,2.45164466160113e-24,1.59788910873959e-23,44.4228054565946,"GABAergic"
"HSF5",-0.161858150106661,7.15676008516603,-10.3361734488632,2.45687971650648e-24,1.60064406366758e-23,44.4208963033084,"GABAergic"
"OR2I1P",-0.16075124020491,7.15395060415691,-10.3361511765462,2.45741714018389e-24,1.60064406366758e-23,44.4204621412498,"GABAergic"
"MAPKAPK3",-0.153435655223175,7.15212701659525,-10.3358716010422,2.46417312749174e-24,1.60454001853934e-23,44.4178037433835,"GABAergic"
"AP000785.2",-0.153221604744123,7.1507709215066,-10.3354150233669,2.47524601719524e-24,1.61124358121198e-23,44.4132789127044,"GABAergic"
"ESCO2",-0.160719278977266,7.15778061331963,-10.3353016083529,2.4780041905706e-24,1.61253222743603e-23,44.4125169434332,"GABAergic"
"AC104350.1",-0.157287932470097,7.15190799326743,-10.3348196542206,2.48975900432374e-24,1.61967268393711e-23,44.4075537948292,"GABAergic"
"CDC37L1-DT",-0.176944292554267,7.16431828295518,-10.3346076447762,2.49494738687332e-24,1.6225383115952e-23,44.4059765447574,"GABAergic"
"SNHG25",-0.161510613616454,7.15675424816304,-10.3334863836777,2.5225661384162e-24,1.63998469632815e-23,44.3948638137541,"GABAergic"
