"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_yellow","kME_black","kME_brown","kME_green","kME_red"
"Uxs1","grey","grey",0.073080203972492,0.038469042019188,0.100721526553517,0.10551476474753,0.02929205543897,0.052693444568956,0.088459824045615,0.101204583241993
"Tpp2","grey","grey",0.0748883134979743,0.107287243067255,0.116363028116312,0.0479854844080322,0.0951088798495686,0.038569046234375,0.0790918511140017,0.0424559003890719
"Wdr75","grey","grey",0.0791236247494662,0.0971625793535672,0.0978802433814765,0.0358766829469366,0.0626019038598975,0.0394224446500095,0.0660446463867914,0.0281428998085824
"Slc39a10","yellow","yellow",0.250383236973718,0.0762491169160729,0.315556830006946,0.464255378682619,0.0240853611775225,0.0874320347013363,0.361792949955626,0.313867788536508
"Tmeff2","grey","grey",0.0580933804009697,0.0162871640279774,0.0399758557758621,-0.0313675997660682,0.00029128461529095,-0.012321172519706,0.00380142188125445,-0.0452438720151674
"Gls","red","red",-0.0990146591487929,-0.00757524813478698,0.0846088758003367,0.172685445033546,0.156531870905883,0.0190909245180573,0.0767192972411302,0.238356277513672
"Mfsd6","grey","grey",0.0744408643278744,0.104503318670048,0.0977562640698104,0.0547764785228307,0.0724166309960022,0.0358870157998871,0.0928341323860421,0.0286100804166656
"Hecw2","green","green",0.0757376455727622,0.0660110505123464,0.135268161347464,0.15985017341921,0.0771942804194924,-0.0238678365447638,0.172761718160976,0.0876574048957224
"Pgap1","green","green",0.0828626437149202,0.0444237696192439,0.0874614471647625,0.0868509177711926,0.0108098905765187,0.00180835303024094,0.118913892224818,0.02932098498102
"Sf3b1","grey","grey",0.0217447005994995,0.0818650635609584,0.127885976937435,0.0929596815790451,0.117052901153257,-0.00362253447226699,0.084082797902948,0.103060398813118
"Hspd1","turquoise","turquoise",0.231411502792984,0.14494647121777,0.164001475782361,0.0729219828263136,0.0154138085247618,0.136983752488745,0.132987696319835,0.0522662923244379
"Hspe1","turquoise","turquoise",0.183451373361036,0.146562056488364,0.103601861980174,-0.00311037072379452,0.024306882668364,0.149184394148392,0.0705358466722738,-0.00504723974688996
"Mob4","grey","grey",0.0937877450237278,0.0741684814131328,0.105756369444972,0.0623268534928305,0.0393529252831257,0.0482201592385321,0.0749032854275777,0.0488630173304641
"Spats2l","grey","grey",0.0975885595727551,0.090019425988278,0.144312612837802,0.106160648392697,0.0613620513917697,0.0143834617511416,0.117163110568315,0.0746545955548876
"Bzw1","turquoise","turquoise",0.195265296274996,0.12388707833565,0.143511731763417,0.099181477331232,0.0220381033773519,0.0969295131060688,0.142908432801492,0.0518734825641243
"Clk1","black","black",-0.0609625366190515,0.0327545668590214,0.0255714082015895,0.00576204120328315,0.144023504049501,-0.0440782303773265,0.00140199809889557,0.0242750643123792
"Orc2","grey","grey",0.109463862304105,0.090904507178472,0.13267237171164,0.0916598089766248,0.0491114872157832,0.028682716722648,0.113166766044705,0.0604527407134592
"Fam126b","grey","grey",0.0559776994375168,0.0633088355054949,0.138067480739812,0.12787871611775,0.0942239446088953,0.0728118067075651,0.108677155828976,0.138662598120261
"Ndufb3","blue","blue",0.150690341404935,0.147830215584896,0.10507135621005,0.0421175022279493,0.0339355458468197,0.136813558692201,0.0842395509397064,0.0364319018567166
"Trak2","grey","grey",0.0784090849043093,0.104119311059984,0.124803196696657,0.0761065898041377,0.0885194301504591,0.024248575929286,0.102453209522884,0.0526770772199774
"Sumo1","grey","grey",0.143110416116614,0.102490325764008,0.126778846616876,0.0832026396980863,0.0314133550974055,0.0983940155965383,0.103726126882421,0.0602163572095526
"Nop58","grey","grey",0.113792000195532,0.093882230932744,0.103678434975747,0.0435369196749856,0.0342053745206844,0.0748060992985835,0.0831846062845845,0.0363496829965989
"Bmpr2","grey","grey",0.125302049400287,0.102123839504005,0.143606904803722,0.0943755593449436,0.0641186297792514,0.0981091844278497,0.122602889696094,0.0805063821869731
"Wdr12","grey","grey",0.0736852026693429,0.0808712340120838,0.102246287562671,0.0394642576927146,0.0628812063269288,0.0613855154074527,0.0656483035413427,0.0483986902367115
"Nbeal1","blue","blue",0.0138251547069893,0.101820037538497,0.0473744661116097,0.0106184782866769,0.099434236306769,-0.0252947841776569,0.0492680003611377,-0.0303040722547874
"Abi2","red","red",0.0649381125897502,0.0277831546004096,0.152937580040816,0.158123007002147,0.074011491271319,0.0870482645774611,0.104064935998848,0.209900881198445
"Raph1","yellow","yellow",0.026438244136042,0.0288732114425328,0.131117661259329,0.235584255068069,0.0914265983344683,-0.0309891921073667,0.174282368908481,0.132771202991087
"Ino80d","grey","grey",0.0337123543063053,0.039754782398416,0.0694799354817588,0.0429387008513372,0.0557098724596163,0.0337407135924307,0.0422921138793719,0.0567149207511229
